TransactionID,AccountNumber,Timestamp,Amount,MerchantName,City,Category,Channel,CustomerAge,CustomerOccupation,IsFraud
TXN-000024,ACCT-1080,2025-01-03 14:06:49,102.1,Lyft,Seattle,Healthcare,In-Store,79,Freelancer,0
TXN-000025,ACCT-1116,2025-09-23 11:01:25,93.24,Costco,San Francisco,Travel,Mobile App,19,Lawyer,0
TXN-000026,ACCT-1091,2025-08-01 17:54:22,259.57,Zara,Miami,Travel,Mobile App,36,Manager,0
TXN-000027,ACCT-1031,2025-06-03 07:19:17,52.18,DoorDash,San Antonio,Shopping,Online,71,Doctor,0
TXN-000028,ACCT-1131,2025-05-19 09:24:22,154.75,Home Depot,Dallas,Dining,In-Store,34,Lawyer,0
TXN-000029,ACCT-1152,2025-01-15 15:09:23,390.84,McDonalds,San Francisco,Transportation,Online,58,Chef,0
TXN-000030,ACCT-1086,2025-10-28 13:01:08,27.36,DoorDash,Philadelphia,Personal Care,Online,20,Manager,0
TXN-000031,ACCT-1027,2025-03-26 15:12:01,250.52,Best Buy,Houston,Travel,Online,28,Sales Rep,0
TXN-000032,ACCT-1028,2025-04-22 17:03:59,17.59,Kroger,Seattle,Shopping,In-Store,23,Freelancer,0
TXN-000033,ACCT-1119,2025-06-21 09:41:42,101.04,Home Depot,Boston,Healthcare,ATM,41,Designer,0
TXN-000034,ACCT-1155,2025-03-28 16:30:06,223.62,Lyft,Los Angeles,Personal Care,Online,35,Accountant,0
TXN-000035,ACCT-1166,2025-12-09 08:13:31,65.79,Netflix,Boston,Transportation,In-Store,21,Designer,0
TXN-000036,ACCT-1191,2025-05-12 02:06:00,190.13,Amazon,San Francisco,Entertainment,Online,61,Designer,1
TXN-000037,ACCT-1048,2025-10-06 13:14:42,41.84,Walmart,San Antonio,Transportation,In-Store,25,Lawyer,0
TXN-000038,ACCT-1159,2025-01-12 11:15:13,191.0,Airbnb,San Diego,Healthcare,Online,39,Student,0
TXN-000039,ACCT-1176,2025-03-25 16:07:21,121.54,Amazon,Boston,Personal Care,Online,62,Designer,0
TXN-000040,ACCT-1114,2025-04-09 19:04:13,46.75,Zara,Boston,Transportation,In-Store,65,Teacher,0
TXN-000041,ACCT-1127,2025-06-08 21:35:05,72.91,Target,Seattle,Transportation,In-Store,32,Nurse,0
TXN-000042,ACCT-1100,2025-07-07 11:30:33,182.12,Marriott,Phoenix,Healthcare,Online,80,Manager,0
TXN-000043,ACCT-1172,2025-02-06 08:01:42,42.67,Amazon,Austin,Shopping,Mobile App,25,Nurse,0
TXN-000044,ACCT-1055,2025-09-13 12:25:40,352.66,Netflix,Denver,Gas,In-Store,46,Nurse,0
TXN-000045,ACCT-1051,2025-09-04 11:08:57,376.94,Amazon,Atlanta,Healthcare,In-Store,45,Chef,0
TXN-000046,ACCT-1181,2025-04-11 07:15:50,203.18,Trader Joes,Detroit,Groceries,ATM,48,Manager,0
TXN-000047,ACCT-1098,2025-03-24 18:27:45,693.02,Amazon,Houston,Subscriptions,Online,37,Sales Rep,0
TXN-000048,ACCT-1087,2025-12-14 13:14:41,490.04,McDonalds,Seattle,Healthcare,ATM,61,Manager,0
TXN-000049,ACCT-1001,2025-02-07 10:22:05,235.26,Nike,Minneapolis,Gas,Online,64,Nurse,0
TXN-000050,ACCT-1058,2025-03-06 09:44:23,259.92,Amazon,San Diego,Healthcare,In-Store,36,Designer,0
TXN-000051,ACCT-1072,2025-05-31 14:21:04,221.58,Shell Gas,San Diego,Dining,Online,53,Analyst,0
TXN-000052,ACCT-1030,2025-06-10 16:46:37,96.41,Home Depot,Seattle,Utilities,Online,48,Manager,0
TXN-000053,ACCT-1074,2025-10-26 17:46:13,189.75,Delta Airlines,Miami,Personal Care,Mobile App,42,Freelancer,0
TXN-000054,ACCT-1187,2025-02-23 09:43:58,271.57,Walgreens,San Antonio,Healthcare,Online,28,Freelancer,0
TXN-000055,ACCT-1186,2025-02-07 12:27:33,26.32,Delta Airlines,Dallas,Transportation,ATM,19,Freelancer,0
TXN-000056,ACCT-1195,2025-01-21 12:16:50,80.93,Walmart,Houston,Personal Care,In-Store,46,Retired,0
TXN-000057,ACCT-1009,2025-07-13 11:51:49,63.74,DoorDash,Austin,Personal Care,Mobile App,69,Analyst,0
TXN-000058,ACCT-1053,2025-08-18 09:22:42,27.39,Hilton,Philadelphia,Education,Online,20,Student,0
TXN-000059,ACCT-1009,2025-04-30 14:23:53,56.86,Nike,Austin,Subscriptions,Online,69,Analyst,0
TXN-000060,ACCT-1038,2025-11-02 16:56:20,97.85,Spotify,Chicago,Gas,Mobile App,42,Nurse,0
TXN-000061,ACCT-1173,2025-03-21 15:54:27,174.46,Spotify,Chicago,Subscriptions,In-Store,44,Retired,0
TXN-000062,ACCT-1011,2025-04-23 13:41:49,397.73,Costco,Atlanta,Subscriptions,Online,47,Doctor,0
TXN-000063,ACCT-1182,2025-02-06 07:20:11,385.82,United Airlines,Denver,Education,In-Store,55,Lawyer,0
TXN-000064,ACCT-1063,2025-02-13 11:24:26,109.58,Walmart,Austin,Groceries,Online,70,Driver,0
TXN-000065,ACCT-1058,2025-09-29 12:17:57,272.56,Marriott,Miami,Healthcare,Online,36,Designer,0
TXN-000066,ACCT-1132,2025-12-29 07:13:56,459.16,Grubhub,Miami,Utilities,In-Store,54,Manager,0
TXN-000067,ACCT-1183,2025-05-01 14:58:11,203.14,Uber,Portland,Travel,Online,60,Retired,0
TXN-000068,ACCT-1081,2025-05-06 11:06:46,68.02,Apple Store,Denver,Dining,Phone,77,Accountant,0
TXN-000069,ACCT-1129,2025-07-09 15:36:27,55.92,United Airlines,Chicago,Shopping,In-Store,32,Sales Rep,0
TXN-000070,ACCT-1117,2025-04-22 17:02:58,312.66,Uber,Houston,Education,Mobile App,56,Teacher,0
TXN-000071,ACCT-1101,2025-08-19 15:56:04,31.2,Whole Foods,Minneapolis,Healthcare,In-Store,24,Doctor,0
TXN-000072,ACCT-1151,2025-03-24 15:22:19,159.74,Amazon,Seattle,Education,Online,36,Retired,0
TXN-000073,ACCT-1000,2025-02-28 20:02:40,106.09,Target,Detroit,Gas,In-Store,59,Freelancer,0
TXN-000074,ACCT-1016,2025-04-28 13:44:47,186.27,Walmart,Miami,Groceries,Online,26,Driver,0
TXN-000075,ACCT-1195,2025-07-20 12:15:15,575.04,DoorDash,Houston,Healthcare,In-Store,46,Retired,0
TXN-000076,ACCT-1136,2025-07-18 16:53:19,280.24,Uber,Boston,Healthcare,ATM,60,Sales Rep,0
TXN-000077,ACCT-1053,2025-07-30 13:43:28,19.56,Spotify,Philadelphia,Transportation,In-Store,20,Student,0
TXN-000078,ACCT-1119,2025-10-21 12:16:11,125.25,Walmart,Boston,Education,In-Store,41,Designer,0
TXN-000079,ACCT-1017,2025-08-14 14:15:39,135.47,Airbnb,San Diego,Gas,Mobile App,76,Nurse,0
TXN-000080,ACCT-1001,2025-01-14 20:53:57,499.84,Grubhub,Minneapolis,Shopping,In-Store,64,Nurse,0
TXN-000081,ACCT-1089,2025-09-24 23:50:22,79.56,Whole Foods,Dallas,Utilities,In-Store,18,Driver,0
TXN-000082,ACCT-1004,2025-05-17 10:37:39,217.02,CVS Pharmacy,Denver,Groceries,Mobile App,28,Designer,0
TXN-000083,ACCT-1057,2025-01-28 23:42:04,608.7,Zara,Seattle,Subscriptions,Phone,55,Analyst,0
TXN-000084,ACCT-1117,2025-05-22 22:33:34,241.9,Nike,Portland,Personal Care,Mobile App,56,Teacher,0
TXN-000085,ACCT-1027,2025-10-12 15:19:34,147.4,Uber,Houston,Education,Online,28,Sales Rep,0
TXN-000086,ACCT-1064,2025-08-21 12:04:44,85.63,Trader Joes,Austin,Entertainment,Phone,19,Driver,0
TXN-000087,ACCT-1138,2025-06-26 22:27:21,117.86,Grubhub,Chicago,Healthcare,In-Store,29,Accountant,0
TXN-000088,ACCT-1009,2025-11-11 11:41:22,29.37,Nike,Austin,Utilities,In-Store,69,Analyst,0
TXN-000089,ACCT-1192,2025-12-23 21:03:41,399.48,Apple Store,San Antonio,Groceries,Online,56,Designer,0
TXN-000090,ACCT-1047,2025-05-10 09:03:35,71.68,Kroger,Dallas,Utilities,In-Store,75,Sales Rep,0
TXN-000091,ACCT-1191,2025-01-21 22:23:29,203.07,Delta Airlines,San Francisco,Education,Online,61,Designer,0
TXN-000092,ACCT-1152,2025-02-05 09:56:08,392.36,Chevron,Atlanta,Dining,Online,58,Chef,0
TXN-000093,ACCT-1103,2025-05-05 14:24:13,46.54,Hilton,Houston,Healthcare,Mobile App,23,Sales Rep,0
TXN-000094,ACCT-1033,2025-12-27 16:39:57,69.03,Best Buy,Miami,Subscriptions,In-Store,43,Teacher,0
TXN-000095,ACCT-1033,2025-10-24 12:30:34,131.21,Zara,Miami,Shopping,In-Store,43,Teacher,0
TXN-000096,ACCT-1004,2025-01-07 18:27:20,364.78,DoorDash,Denver,Travel,Online,28,Designer,0
TXN-000097,ACCT-1139,2025-09-21 10:24:34,125.24,McDonalds,Los Angeles,Education,Online,40,Driver,0
TXN-000098,ACCT-1046,2025-12-21 15:02:22,88.21,Nike,Atlanta,Healthcare,In-Store,27,Driver,0
TXN-000099,ACCT-1172,2025-09-21 11:08:45,34.59,Whole Foods,Austin,Subscriptions,Online,25,Nurse,0
TXN-000100,ACCT-1115,2025-02-06 11:43:20,84.92,Hilton,San Francisco,Personal Care,Mobile App,40,Sales Rep,0
TXN-000101,ACCT-1022,2025-03-13 09:22:00,374.31,QuickWire Transfers,Lagos,Travel,Online,34,Analyst,1
TXN-000102,ACCT-1069,2025-11-10 20:47:50,44.45,Nike,Minneapolis,Dining,Online,32,Manager,0
TXN-000103,ACCT-1082,2025-10-03 17:11:47,78.98,DoorDash,Philadelphia,Entertainment,Phone,26,Driver,0
TXN-000104,ACCT-1000,2025-08-26 09:38:43,617.94,Best Buy,Portland,Education,Phone,59,Freelancer,0
TXN-000105,ACCT-1135,2025-05-23 16:24:15,97.88,Costco,Los Angeles,Dining,In-Store,37,Driver,0
TXN-000106,ACCT-1106,2025-05-13 20:37:31,34.46,Zara,Seattle,Personal Care,Online,23,Retired,0
TXN-000107,ACCT-1147,2025-09-19 09:55:09,97.16,Walmart,Atlanta,Healthcare,Mobile App,75,Doctor,0
TXN-000108,ACCT-1179,2025-01-27 10:40:00,72.39,Apple Store,San Diego,Shopping,Online,41,Engineer,0
TXN-000109,ACCT-1020,2025-02-24 07:22:00,1500.0,Grubhub,Austin,Travel,ATM,36,Engineer,1
TXN-000110,ACCT-1080,2025-11-07 12:37:30,139.56,Delta Airlines,Seattle,Education,Phone,79,Freelancer,0
TXN-000111,ACCT-1071,2025-03-06 21:16:15,112.12,Amazon,Nashville,Travel,In-Store,42,Analyst,0
TXN-000112,ACCT-1081,2025-03-25 13:47:33,174.82,Spotify,Denver,Personal Care,Phone,77,Accountant,0
TXN-000113,ACCT-1084,2025-05-05 19:56:00,500.0,Nike,Nashville,Shopping,Online,24,Engineer,1
TXN-000114,ACCT-1142,2025-04-27 10:03:00,114.57,Delta Airlines,Los Angeles,Personal Care,Mobile App,36,Analyst,0
TXN-000115,ACCT-1082,2025-02-17 13:55:48,45.48,Shell Gas,Philadelphia,Travel,In-Store,26,Driver,0
TXN-000116,ACCT-1081,2025-03-13 12:31:04,369.21,Best Buy,Denver,Healthcare,In-Store,77,Accountant,0
TXN-000117,ACCT-1121,2025-09-17 11:52:59,128.05,Home Depot,Houston,Groceries,Online,35,Accountant,0
TXN-000118,ACCT-1010,2025-12-27 12:35:01,25.78,Airbnb,Philadelphia,Groceries,Mobile App,19,Sales Rep,0
TXN-000119,ACCT-1085,2025-05-17 09:08:49,143.65,Hilton,Dallas,Shopping,Online,38,Student,0
TXN-000120,ACCT-1057,2025-08-23 12:39:15,413.94,Home Depot,Seattle,Subscriptions,In-Store,55,Analyst,0
TXN-000121,ACCT-1082,2025-01-13 15:03:24,40.3,Apple Store,Philadelphia,Healthcare,Mobile App,26,Driver,0
TXN-000122,ACCT-1027,2025-10-06 18:50:43,127.22,Uber,Houston,Healthcare,Online,28,Sales Rep,0
TXN-000123,ACCT-1024,2025-12-07 09:46:15,271.32,CVS Pharmacy,Portland,Travel,Online,44,Lawyer,0
TXN-000124,ACCT-1092,2025-12-07 15:36:19,196.62,Shell Gas,Minneapolis,Dining,In-Store,32,Accountant,0
TXN-000125,ACCT-1109,2025-01-24 14:50:38,63.31,Shell Gas,Nashville,Shopping,Phone,42,Student,0
TXN-000126,ACCT-1110,2025-08-26 10:15:52,99.27,Home Depot,San Francisco,Shopping,Online,34,Analyst,0
TXN-000127,ACCT-1033,2025-08-04 09:12:08,43.95,CVS Pharmacy,Miami,Gas,In-Store,43,Teacher,0
TXN-000128,ACCT-1091,2025-03-12 10:17:46,135.07,Apple Store,Miami,Travel,ATM,36,Manager,0
TXN-000129,ACCT-1194,2025-12-04 15:12:00,81.75,Walgreens,San Diego,Subscriptions,Mobile App,84,Lawyer,0
TXN-000130,ACCT-1020,2025-03-21 17:06:01,157.15,Kroger,Detroit,Healthcare,Online,36,Engineer,0
TXN-000131,ACCT-1030,2025-07-14 15:24:47,212.38,Nike,Seattle,Dining,In-Store,48,Manager,0
TXN-000132,ACCT-1004,2025-06-26 07:28:54,345.15,DoorDash,Denver,Personal Care,In-Store,28,Designer,0
TXN-000133,ACCT-1128,2025-05-14 16:35:07,62.86,Lyft,Denver,Travel,In-Store,21,Engineer,0
TXN-000134,ACCT-1028,2025-07-06 08:53:27,41.86,Kroger,Seattle,Healthcare,ATM,23,Freelancer,0
TXN-000135,ACCT-1024,2025-07-11 19:02:28,216.58,Home Depot,Philadelphia,Entertainment,Mobile App,44,Lawyer,1
TXN-000136,ACCT-1029,2025-04-26 16:41:25,107.59,Shell Gas,New York,Gas,In-Store,32,Freelancer,0
TXN-000137,ACCT-1093,2025-04-12 15:18:10,41.48,McDonalds,Boston,Travel,Mobile App,41,Chef,0
TXN-000138,ACCT-1190,2025-03-28 13:11:56,260.96,Grubhub,Nashville,Entertainment,In-Store,40,Teacher,0
TXN-000139,ACCT-1069,2025-04-28 17:25:13,134.19,Marriott,Minneapolis,Travel,ATM,32,Manager,0
TXN-000140,ACCT-1119,2025-01-18 11:38:53,170.9,Apple Store,Boston,Shopping,In-Store,41,Designer,0
TXN-000141,ACCT-1043,2025-10-18 13:47:42,327.4,McDonalds,Atlanta,Utilities,ATM,34,Manager,0
TXN-000142,ACCT-1028,2025-01-01 14:36:57,35.87,Safeway,Seattle,Groceries,In-Store,23,Freelancer,0
TXN-000143,ACCT-1085,2025-05-13 07:16:33,168.59,CVS Pharmacy,Dallas,Entertainment,Mobile App,38,Student,0
TXN-000144,ACCT-1193,2025-06-17 16:50:19,70.51,Whole Foods,Nashville,Travel,In-Store,42,Sales Rep,0
TXN-000145,ACCT-1018,2025-01-01 11:46:22,112.07,Airbnb,Seattle,Travel,In-Store,28,Retired,0
TXN-000146,ACCT-1044,2025-06-17 04:18:09,49.87,Shell Gas,Portland,Subscriptions,ATM,73,Doctor,0
TXN-000147,ACCT-1100,2025-02-15 17:07:23,60.0,Marriott,Phoenix,Subscriptions,Mobile App,80,Manager,0
TXN-000148,ACCT-1076,2025-03-29 21:12:12,8.97,United Airlines,Portland,Utilities,Online,18,Teacher,0
TXN-000149,ACCT-1046,2025-04-26 09:21:15,55.65,Netflix,Atlanta,Dining,Online,27,Driver,0
TXN-000150,ACCT-1073,2025-03-18 10:16:47,146.25,Starbucks,Miami,Utilities,Online,34,Analyst,0
TXN-000151,ACCT-1126,2025-05-30 21:11:44,134.43,Trader Joes,Portland,Education,Online,30,Driver,0
TXN-000152,ACCT-1075,2025-06-18 01:53:23,99.28,United Airlines,Denver,Gas,Online,81,Accountant,0
TXN-000153,ACCT-1086,2025-12-13 14:06:54,42.7,Zara,Philadelphia,Personal Care,Online,20,Manager,0
TXN-000154,ACCT-1173,2025-07-29 09:09:00,2594.45,Target,Chicago,Entertainment,Online,44,Retired,1
TXN-000155,ACCT-1184,2025-07-27 11:58:27,81.5,Trader Joes,Seattle,Gas,In-Store,30,Analyst,0
TXN-000156,ACCT-1182,2025-11-19 07:13:55,409.6,United Airlines,Denver,Gas,ATM,55,Lawyer,0
TXN-000157,ACCT-1040,2025-11-30 13:57:50,155.76,Safeway,Miami,Shopping,In-Store,29,Driver,0
TXN-000158,ACCT-1133,2025-09-16 15:01:31,29.96,Grubhub,Nashville,Groceries,Online,19,Student,0
TXN-000159,ACCT-1126,2025-02-14 16:45:00,180.42,Trader Joes,Portland,Shopping,Mobile App,30,Driver,0
TXN-000160,ACCT-1009,2025-04-12 09:40:49,94.27,Nike,Austin,Shopping,In-Store,69,Analyst,0
TXN-000161,ACCT-1000,2025-03-23 08:44:20,436.09,Best Buy,Portland,Dining,Online,59,Freelancer,0
TXN-000162,ACCT-1126,2025-12-27 16:26:47,300.78,United Airlines,Portland,Entertainment,ATM,30,Driver,0
TXN-000163,ACCT-1138,2025-05-16 12:57:22,193.6,Grubhub,Seattle,Gas,Online,29,Accountant,0
TXN-000164,ACCT-1022,2025-04-18 18:53:15,103.5,Marriott,Los Angeles,Healthcare,In-Store,34,Analyst,0
TXN-000165,ACCT-1151,2025-12-21 09:30:27,389.2,Amazon,Denver,Gas,In-Store,36,Retired,0
TXN-000166,ACCT-1173,2025-11-14 11:54:01,77.73,Best Buy,Chicago,Education,Online,44,Retired,0
TXN-000167,ACCT-1069,2025-05-07 12:03:14,72.87,Shell Gas,Dallas,Travel,In-Store,32,Manager,0
TXN-000168,ACCT-1175,2025-11-13 13:21:00,820.69,GoldBullion Direct,Minsk,Shopping,Online,59,Student,1
TXN-000169,ACCT-1056,2025-03-22 11:49:36,169.31,Hilton,Philadelphia,Entertainment,ATM,39,Freelancer,0
TXN-000170,ACCT-1074,2025-10-21 15:18:42,130.4,CVS Pharmacy,Miami,Travel,In-Store,42,Freelancer,0
TXN-000171,ACCT-1107,2025-09-29 10:27:15,233.26,Trader Joes,New York,Healthcare,Mobile App,63,Student,1
TXN-000172,ACCT-1146,2025-03-02 09:44:20,58.21,CVS Pharmacy,Atlanta,Personal Care,In-Store,39,Accountant,0
TXN-000173,ACCT-1075,2025-08-25 22:25:46,66.43,Safeway,Denver,Utilities,Mobile App,81,Accountant,0
TXN-000174,ACCT-1012,2025-01-15 14:20:41,55.33,McDonalds,Nashville,Dining,Mobile App,22,Teacher,0
TXN-000175,ACCT-1125,2025-06-22 15:20:33,183.19,United Airlines,Atlanta,Gas,In-Store,61,Teacher,0
TXN-000176,ACCT-1048,2025-08-06 16:44:25,126.04,Lyft,San Antonio,Shopping,Online,25,Lawyer,0
TXN-000177,ACCT-1165,2025-04-26 22:57:25,22.24,Best Buy,Los Angeles,Transportation,Online,22,Accountant,0
TXN-000178,ACCT-1186,2025-10-29 17:05:06,34.3,Apple Store,Dallas,Transportation,In-Store,19,Freelancer,0
TXN-000179,ACCT-1059,2025-02-17 16:41:17,352.4,Chevron,Los Angeles,Education,Mobile App,48,Doctor,0
TXN-000180,ACCT-1105,2025-08-01 20:19:18,675.7,United Airlines,New York,Travel,Online,51,Teacher,0
TXN-000181,ACCT-1139,2025-11-04 14:40:21,197.56,Walgreens,Seattle,Utilities,ATM,40,Driver,0
TXN-000182,ACCT-1121,2025-10-02 10:39:55,122.87,Zara,Houston,Personal Care,Online,35,Accountant,0
TXN-000183,ACCT-1050,2025-05-11 06:48:12,91.8,Netflix,Atlanta,Dining,In-Store,43,Designer,0
TXN-000184,ACCT-1042,2025-03-11 11:40:07,197.07,Starbucks,Seattle,Shopping,ATM,50,Sales Rep,0
TXN-000185,ACCT-1175,2025-07-26 14:22:11,339.25,Home Depot,Los Angeles,Subscriptions,Phone,59,Student,0
TXN-000186,ACCT-1112,2025-09-11 11:57:33,30.27,Lyft,San Antonio,Groceries,Online,23,Sales Rep,0
TXN-000187,ACCT-1038,2025-04-10 14:45:35,210.85,Grubhub,Chicago,Groceries,ATM,42,Nurse,0
TXN-000188,ACCT-1088,2025-03-30 12:46:51,86.62,Kroger,Phoenix,Gas,In-Store,33,Designer,0
TXN-000189,ACCT-1198,2025-02-20 08:38:16,310.08,Kroger,Houston,Transportation,In-Store,53,Engineer,0
TXN-000190,ACCT-1027,2025-08-08 08:59:03,210.04,Uber,Houston,Personal Care,Online,28,Sales Rep,0
TXN-000191,ACCT-1067,2025-10-04 13:33:36,246.44,Costco,Boston,Utilities,Online,62,Doctor,0
TXN-000192,ACCT-1070,2025-08-13 16:10:53,537.06,Spotify,Portland,Entertainment,Mobile App,56,Student,0
TXN-000193,ACCT-1195,2025-11-11 09:50:59,253.89,Marriott,Houston,Utilities,Online,46,Retired,0
TXN-000194,ACCT-1016,2025-08-02 11:17:01,87.75,Marriott,Miami,Entertainment,In-Store,26,Driver,0
TXN-000195,ACCT-1123,2025-09-14 13:20:00,51.73,Hilton,Seattle,Utilities,In-Store,37,Lawyer,0
TXN-000196,ACCT-1120,2025-07-11 16:47:52,239.06,McDonalds,Minneapolis,Gas,In-Store,54,Teacher,0
TXN-000197,ACCT-1028,2025-03-03 12:17:08,29.99,Shell Gas,Seattle,Dining,In-Store,23,Freelancer,0
TXN-000198,ACCT-1121,2025-04-08 15:56:21,94.35,Zara,Houston,Transportation,Mobile App,35,Accountant,0
TXN-000199,ACCT-1067,2025-01-02 08:40:38,358.33,Walmart,Boston,Healthcare,Online,62,Doctor,0
TXN-000200,ACCT-1068,2025-03-25 19:12:40,10.57,Hilton,Atlanta,Travel,In-Store,22,Accountant,0
TXN-000201,ACCT-1159,2025-11-18 12:28:48,295.74,Amazon,Atlanta,Personal Care,Mobile App,39,Student,0
TXN-000202,ACCT-1164,2025-10-26 15:10:24,101.22,Target,Seattle,Shopping,Online,36,Freelancer,0
TXN-000203,ACCT-1019,2025-09-30 16:49:32,187.9,Marriott,Chicago,Entertainment,Mobile App,41,Lawyer,0
TXN-000204,ACCT-1195,2025-09-16 19:01:31,137.97,DoorDash,Houston,Entertainment,In-Store,46,Retired,0
TXN-000205,ACCT-1155,2025-02-15 12:48:38,191.87,DoorDash,Los Angeles,Entertainment,Online,35,Accountant,0
TXN-000206,ACCT-1199,2025-07-11 09:59:27,103.29,Home Depot,Houston,Shopping,Online,33,Chef,0
TXN-000207,ACCT-1149,2025-08-03 18:13:19,181.13,Apple Store,Los Angeles,Utilities,Online,41,Sales Rep,0
TXN-000208,ACCT-1004,2025-06-15 13:59:33,109.57,DoorDash,Denver,Personal Care,Online,28,Designer,0
TXN-000209,ACCT-1069,2025-10-05 06:48:21,60.42,Shell Gas,Minneapolis,Subscriptions,In-Store,32,Manager,0
TXN-000210,ACCT-1185,2025-05-04 12:11:40,191.83,McDonalds,New York,Subscriptions,Online,58,Lawyer,0
TXN-000211,ACCT-1136,2025-11-07 15:27:45,404.53,Uber,Boston,Transportation,In-Store,60,Sales Rep,0
TXN-000212,ACCT-1180,2025-09-30 09:29:00,1894.94,Spotify,Detroit,Shopping,Online,45,Freelancer,1
TXN-000213,ACCT-1137,2025-09-03 07:56:53,230.64,Walmart,San Antonio,Healthcare,Mobile App,41,Lawyer,0
TXN-000214,ACCT-1085,2025-12-27 10:36:10,213.52,Hilton,Dallas,Shopping,Online,38,Student,0
TXN-000215,ACCT-1196,2025-03-18 09:41:43,331.47,Target,Los Angeles,Gas,In-Store,48,Freelancer,0
TXN-000216,ACCT-1185,2025-03-13 13:10:13,207.94,Amazon,New York,Gas,Online,58,Lawyer,0
TXN-000217,ACCT-1070,2025-04-12 12:58:16,213.64,Hilton,Portland,Personal Care,In-Store,56,Student,0
TXN-000218,ACCT-1012,2025-05-31 10:42:22,48.48,Walgreens,Denver,Gas,Mobile App,22,Teacher,0
TXN-000219,ACCT-1150,2025-09-09 13:35:56,14.43,Costco,Atlanta,Groceries,Mobile App,24,Manager,0
TXN-000220,ACCT-1041,2025-07-18 11:35:26,113.77,Nike,Los Angeles,Gas,In-Store,44,Designer,0
TXN-000221,ACCT-1021,2025-06-07 13:59:40,49.7,Walmart,Portland,Healthcare,Online,28,Teacher,0
TXN-000222,ACCT-1157,2025-09-23 16:51:40,398.91,Trader Joes,Atlanta,Dining,Mobile App,57,Lawyer,0
TXN-000223,ACCT-1165,2025-11-19 14:04:10,49.0,Amazon,San Antonio,Shopping,ATM,22,Accountant,0
TXN-000224,ACCT-1083,2025-11-17 19:02:36,262.38,Starbucks,Detroit,Shopping,In-Store,52,Freelancer,0
TXN-000225,ACCT-1198,2025-02-04 11:46:15,137.89,Kroger,Houston,Utilities,In-Store,53,Engineer,0
TXN-000226,ACCT-1115,2025-12-15 12:45:32,58.47,Shell Gas,San Francisco,Travel,Mobile App,40,Sales Rep,0
